Race,Subrace,Type,Names
Human (Khadoran),Khard,Male,"Aika, Aleksi, Alexandr, Alexei, Aliosha, Ambroz, Andrei, Balsnoch, Barak, Bladko, Boris, Borja, Chasek, Costi, Culamir, Dahlrif, Dalmat, Dmitri, Dobrinya, Dorek, Dragash, Drago, Falko, Fedko, Fedor, Fodor, Gasan, Ghita, Giza, Gorash, Goraz, Gorian, Grigor, Grigory, Iagan, Iakhno, Iakshen, Igor, Ilya, Ivan, Ivash, Ivdan, Jachemir, Jarosch, Josef, Kachalo, Kigir, Kirbitei, Kohan, Kosara, Ladimir, Levanid, Loshka, Luka, Malash, Malko, Michal, Michka, Mikhail, Mikolo, Mishka, Negomir, Nekras, Nikolei, Olekse, Pachek, Petrov, Pytor, Radomir, Radu, Rajko, Ruskin, Sadko, Sergei, Servath, Solovei, Stoyan, Valerian, Vasily, Vasiuk, Vasko, Vladjimir, Vojin, Volkh, Yakov, Yaro, Yuri, Yurik"
Human (Khadoran),Khard,Female,"Akina, Akilina, Aleksa, Anana, Anastasia, Anikita, Bazhina, Britt, Cesta, Cestina, Corinna, Dalika, Darzha, Elina, Eliska, Elka, Gridia, Gubina, Ihrin, Ilyana, Ivona, Kasia, Katerina, Katia, Klenka, Ksana, Laika, Lariana, Ludmila, Malana, Marfa, Marina, Marta, Mia, Mikhaila, Milena, Misha, Myrra, Nastasja, Natalya, Nikita, Ninete, Ondreiana, Riksa, Siri, Sivasha, Sofia, Sonja, Stefka, Tahni, Tara, Tatyana, Vjera, Yelena, Zelmira, Zori"
Human (Khadoran),Skirov,Male,"Aika, Aleksi, Alexandr, Alexei, Aliosha, Ambroz, Andrei, Balsnoch, Barak, Bladko, Boris, Borja, Chasek, Costi, Culamir, Dahlrif, Dalmat, Dmitri, Dobrinya, Dorek, Dragash, Drago, Falko, Fedko, Fedor, Fodor, Gasan, Ghita, Giza, Gorash, Goraz, Gorian, Grigor, Grigory, Iagan, Iakhno, Iakshen, Igor, Ilya, Ivan, Ivash, Ivdan, Jachemir, Jarosch, Josef, Kachalo, Kigir, Kirbitei, Kohan, Kosara, Ladimir, Levanid, Loshka, Luka, Malash, Malko, Michal, Michka, Mikhail, Mikolo, Mishka, Negomir, Nekras, Nikolei, Olekse, Pachek, Petrov, Pytor, Radomir, Radu, Rajko, Ruskin, Sadko, Sergei, Servath, Solovei, Stoyan, Valerian, Vasily, Vasiuk, Vasko, Vladjimir, Vojin, Volkh, Yakov, Yaro, Yuri, Yurik"
Human (Khadoran),Skirov,Female,"Akina, Akilina, Aleksa, Anana, Anastasia, Anikita, Bazhina, Britt, Cesta, Cestina, Corinna, Dalika, Darzha, Elina, Eliska, Elka, Gridia, Gubina, Ihrin, Ilyana, Ivona, Kasia, Katerina, Katia, Klenka, Ksana, Laika, Lariana, Ludmila, Malana, Marfa, Marina, Marta, Mia, Mikhaila, Milena, Misha, Myrra, Nastasja, Natalya, Nikita, Ninete, Ondreiana, Riksa, Siri, Sivasha, Sofia, Sonja, Stefka, Tahni, Tara, Tatyana, Vjera, Yelena, Zelmira, Zori"
Human (Llaelese),Ryn,Male,"Alayn, Algyr, Alnor, Alvy, Amyry, Ansyl, Anson, Ard, Aryas, Ardyn, Arkyn, Arland, Artys, Bayn, Bayn, Bayrn, Bardyn, Barygan, Barlowy, Bartly, Baydyn, Byck, Byrgyn, Byrk, Byxlyr, Blaydy, Blythy, Boldyn, Boryn, Bors, Bowdyn, Brandyl, Bryll, Brock, Brony, Bruy, Brunnyr, Bryson, Cacy, Cayny, Cam, Camdyn, Casnyr, Cobb, Crydan, Cryl, Crowly, Dalmyr, Dardan, Dygar, Dylp, Dyxyr, Dyxtryl, Dorn, Dowd, Doyly, Drucy, Duggyr, Dunly, Durwyn, yckyrt, ygan, ylyas, ylgyn, ynnys, yvyrytt, Fany, Fargas, Fynch, Fytch, Gady, Gadsdyn, Galt, Garrytt, Garryck, Godwyn, Gryffon, Gum, Gunnyr, Hamyl, Harlan, Hawky, Hyrymon, ycabod, Jaggyr, Jarok, Jonas, Julyan, Kady, Kyll, Kyrny, Kyrr, Lyto, Lon, Mago, Malyk, Mylo, Nash, Nolan, Odgyr, Olson, Pandor, Pyrth, Phynyas, Radnor, Rygan, Rytho, Rynard, Rowy, Rudd, Scarly, Sybastyan, Sorly, Tymyck, Ulfass, Vahn, Vyctor, Vydor, Vyntyr, Waldron, Wolfy, Wyatt"
Human (Llaelese),Ryn,Female,"Alanna, Alyxya, Ally, Amyry, Ashlan, Ashly, Bayly, Bytylda, Brona, Cammy, Canycy, Cara, Caylan, Cycyly, Cryna, Dara, Darsy, Dylany, Dyrry, Dysly, Dyvlyn, Dunla, ylatha, ylspyth, ymma, ynda, yrrys, yvylyn, Galy, Gwyn, Haly, Hynna, yslyny, Jynytt, Jordan, Julyana, Katyryny, Kyaly, Kyary, Kyavy, Kylsy, Kylty, Lorna, Matylda, Myara, Morna, Muryl, Nally, Orla, Rynny, Rosalyn, Rowan, Sabyna, Shay, Styanna, Tara, Tory, Tryssa, Una, Vora, Wryn"
Human (Llaelese),Umbrian,Male,"Aika, Aleksi, Alexandr, Alexei, Aliosha, Ambroz, Andrei, Balsnoch, Barak, Bladko, Boris, Borja, Chasek, Costi, Culamir, Dahlrif, Dalmat, Dmitri, Dobrinya, Dorek, Dragash, Drago, Falko, Fedko, Fedor, Fodor, Gasan, Ghita, Giza, Gorash, Goraz, Gorian, Grigor, Grigory, Iagan, Iakhno, Iakshen, Igor, Ilya, Ivan, Ivash, Ivdan, Jachemir, Jarosch, Josef, Kachalo, Kigir, Kirbitei, Kohan, Kosara, Ladimir, Levanid, Loshka, Luka, Malash, Malko, Michal, Michka, Mikhail, Mikolo, Mishka, Negomir, Nekras, Nikolei, Olekse, Pachek, Petrov, Pytor, Radomir, Radu, Rajko, Ruskin, Sadko, Sergei, Servath, Solovei, Stoyan, Valerian, Vasily, Vasiuk, Vasko, Vladjimir, Vojin, Volkh, Yakov, Yaro, Yuri, Yurik"
Human (Llaelese),Umbrian,Female,"Akina, Akilina, Aleksa, Anana, Anastasia, Anikita, Bazhina, Britt, Cesta, Cestina, Corinna, Dalika, Darzha, Elina, Eliska, Elka, Gridia, Gubina, Ihrin, Ilyana, Ivona, Kasia, Katerina, Katia, Klenka, Ksana, Laika, Lariana, Ludmila, Malana, Marfa, Marina, Marta, Mia, Mikhaila, Milena, Misha, Myrra, Nastasja, Natalya, Nikita, Ninete, Ondreiana, Riksa, Siri, Sivasha, Sofia, Sonja, Stefka, Tahni, Tara, Tatyana, Vjera, Yelena, Zelmira, Zori"
Human (Ordic),Tordoran,Male,"Agnolo, Alvoro, Amador, Amario, Ambro, Andro, Avito, Bacar, Bartal, Barzal, Belchior, Bernal, Biagio, Caldini, Calefo, Damasco, Dego, Falchi, Faro, Fernam, Francar, Gaspar, Gazo, Gismondo, Gozca, Grigori, Jaspar, Laspar, Lavoro, Lionor, Lorio, Lupar, Malo, Manario, Maro, Mateo, Montador, Nando, Nicolo, Olivo, Ormano, Padri, Pascal, Piero, Rafaldo, Ranal, Rufio, Salvi, Sighieri, Stagiar, Vasco, Zachar"
Human (Ordic),Tordoran,Female,"Alda, Aldiana, Anastasi, Andrea, Badess, Biella, Branca, Carlutia, Consola, Creena, Danola, Dialta, Eliana, Favia, Felice, Fia, Gabriele, Giana, Giona, Giovanna, Gratia, Imelda, Isabel, Lena, Loriana, Lorita, Malatesta, Margia, Matea, Mirena, Nicola, Oliveta, Orabella, Rena, Rosa, Sandrea, Scarlata, Selanda, Simona, Stiata, Tadeo, Talia, Tareyja, Valori, Verona"
Human (Protectorate),Idrian,Male,"Abidin, Adil, Adira, Affendi, Aiman, Akhet, Akhun, Amir, Amon, Amran, Anazim, Anuar, Arshad, Arzu, Azlan, Azrul, Badan, Bahari, Baharudin, Bakara, Bakva, Banu, Bashah, Dahari, Djavak, Djokola, Durga, Eman, Faizal, Fakharuddin, Farhan, Fashran, Fazrul, Ghani, Goha, Gosaf, Haakim, Hadi, Hafizul, Harun, Hasnan, Huslan, Ihsan, Imran, Ishak, Iskandar, Izal, Jaafar, Juhari, Kamarul, Khalid, Khvas, Kutsna, Lasha, Makhari, Marlizam, Moastaf, Mustafa, Muzaffar, Naazim, Nahak, Najmudin, Nazri, Proha, Razak, Retek, Rosdan, Saadim, Sahrizan, Sahu, Saltuk, Shaharuddin, Shamsul, Shariman, Shazrin, Siva, Sulaiman, Syahrian, Taarek, Taha, Tajuddin, Tarmizi, Umar, Vasan, Vasu, Volka, Yahaja, Yusuf, Zadar, Zahrin, Zahrul, Zakari, Zaru, Zedrin"
Human (Protectorate),Idrian,Female,"Adelina, Adisa, Ami, Amira, Anisah, Aryani, Asmida, Aysha, Azara, Azlina, Bala, Berka, Chiora, Dalina, Dasima, Dedika, Dendara, Ezadura, Fareha, Fariza, Fatima, Gulisa, Hafizah, Hasha, Haslina, Imanina, Indra, Jamilah, Juvita, Katijah, Kheta, Kita, Laili, Lamara, Lamzira, Latifah, Lilja, Mahran, Maisa, Mariani, Maya, Mazlin, Mutiara, Nadira, Nazariah, Nurjahan, Nurshafira, Opra, Rahanah, Rahiza, Rana, Razmani, Reha, Rohani, Safrina, Saleha, Sanatha, Shafeera, Shalan, Shorena, Shuhada, Siti, Suriani, Tasara, Tiara, Tiesa, Uma, Usha, Voha, Yana, Yara, Yasmin, Yati, Yuzmin, Zahidah, Zahirah, Zakira, Zarina, Zuraina"
Dwarf,-,Male,"Admon, Arlack, Barl, Bartan, Bindar, Brogan, Bullin, Decklin, Dragar, Dunarl, Durg, Durke, Ecken, Freitag, Galtar, Gamack, Gerhard, Gidrick, Golrick, Gruhn, Guvul, Havelock, Hedwig, Herne, Holdur, Jaldun, Jurg, Kalmon, Lossock, Redgar, Theldor, Tholrick, Tholrick, Thorne"
Dwarf,-,Female,"Anlost, Bredine, Burnev, Cathro, Celath, Crelyth, Crieda, Darlave, Dira, Garline, Gedine, Geduve, Girta, Gorina, Heleth, Hiln, Magrat, Marba, Mendine, Nollos, Sartine, Torlith, Uhlith, Ulave, Vetta"
Iosan,-,Male,"Alcyr, Avross, Bres, Callael, Callis, Cinsyr, Cyvross, Erryll, Felcyr, Glyssor, Gossyr, Laconfir, Lani, Lissor, Neriwhen, Pelyth, Rillis, Sarlos, Shas, Thale, Tryiss, Tylth, Vyros, Vystral"
Iosan,-,Female,"Aesha, Alyssa, Caelyth, Cytyss, Dahlia, Edrea, Falcir, Feen, Gaelyr, Hellith, Lorimir, Lothwyn, Meryll, Miir, Renyll, Sacyl, Shael, Sillith, Tanyr, Tathir, Tenae, Velwhin, Veryth, Ystith"
Nyss,-,Male,"Alcyr, Avross, Bres, Callael, Callis, Cinsyr, Cyvross, Erryll, Felcyr, Glyssor, Gossyr, Laconfir, Lani, Lissor, Neriwhen, Pelyth, Rillis, Sarlos, Shas, Thale, Tryiss, Tylth, Vyros, Vystral"
Nyss,-,Female,"Aesha, Alyssa, Caelyth, Cytyss, Dahlia, Edrea, Falcir, Feen, Gaelyr, Hellith, Lorimir, Lothwyn, Meryll, Miir, Renyll, Sacyl, Shael, Sillith, Tanyr, Tathir, Tenae, Velwhin, Veryth, Ystith"
Gobber,-,Male,"Ad, Ant, Az, Boll, Bert, Bork, Dag, Dar, Gek, Gork, Gort, Gul, Gun, Hek, Hok, Kanh, Kug, Lan, Lok, Mo, Mog, Nat, Nun, Ork, Oz, Pok, Poon, Rak, Ranh, Tak, Thak, Tok, Tot, Tun, Tur, Un, Vog, Vorg, Zhag"
Gobber,-,Female,"Agghi, Ala, Anh, Ano, Ara, Atra, Bel, Da, Dar, Enda, Gan, Gara, Geka, Gola, Gomm, Gren, Grend, Kat, Lom, Mari, Meg, Nan, Rala, Ren, Sele, Tere, Ugga, Ula, Vel, Walu, Wikka"
Ogrun,-,Male,"Borok, Bosh, Dunuk, Gantak, Gorgol, Gorlu, Kuluk, Kogul, Lagdor, Lorgrul, Monon, Natak, Oknot, Tokol, Tuluk, Zorok"
Ogrun,-,Female,"Bekken, Beleg, Dekri, Garka, Ilka, Jessen, Kelen, Kinik, Krishka, Rengan, Rilik, Tilka, Torin, Vilin"
Trollkin,-,Male,"Balasar, Bendek, Ganthak, Garosh, Gerlak, Grindar, Holdar, Horluk, Jonhot, Joston, Kolor, Korlar, Masdun, Stershan, Tassar, Termen"
Trollkin,-,Female,"Brolas, Harthreen, Jata, Jennan, Jussika, Lassan, Masalass, Mossan, Niolor, Nosson, Olos, Rossan, Sollisa, Sossamon, Vasalor, Vatess, Vessos, Vialoss"
Human (Cygnaran),Caspian,Surname,"Ainsworth, Aleman, Alkott, Applewhite, Ashburn, Ashcroft, Atchley, Atwood, Bainbridge, Bancroft, Bannister, Barrington, Barton, Baskin, Belker, Bingley, Blackburn, Blackwood, Boggs, Borloch, Borne, Bradner, Brasher, Briarford, Brisbane, Broadnax, Brocker, Calligan, Calvirt, Cosgrave, Darkmantle, Denby, Denisson, Dryden, Dumas, Dunford, Durst, Ellsworth, Falk, Fenwick, Forsythe, Fullet, Gadock, Galbraith, Gant, Gately, Gilfin, Gilroy, Grayden, Grimes, Hadley, Haightley, Halstead, Hartcliff, Helstrom, Helwick, Hitch, Hornbeck, Hurst, Ironside, Keightley, Keller, Kendrick, Kerrigan, Kerswell, Kinnet, Kirkston, Kurgan, Langworth, Lynch, Mallett, Mallory, Millward, Montfort, Mosley, Murdoch, Norwick, Oberen, Oldham, Pendrake, Raelthorne, Ratcliff, Redgrave, Rhinehart, Rolfe, Rusling, Scarrow, Shaw, Skarholt, Sunbright, Talbot, Tolbert, Versh, Villius, Voyle, Wadock, Whitefield"
Human (Cygnaran),Midlunder,Surname,"Ainsworth, Aleman, Alkott, Applewhite, Ashburn, Ashcroft, Atchley, Atwood, Bainbridge, Bancroft, Bannister, Barrington, Barton, Baskin, Belker, Bingley, Blackburn, Blackwood, Boggs, Borloch, Borne, Bradner, Brasher, Briarford, Brisbane, Broadnax, Brocker, Calligan, Calvirt, Cosgrave, Darkmantle, Denby, Denisson, Dryden, Dumas, Dunford, Durst, Ellsworth, Falk, Fenwick, Forsythe, Fullet, Gadock, Galbraith, Gant, Gately, Gilfin, Gilroy, Grayden, Grimes, Hadley, Haightley, Halstead, Hartcliff, Helstrom, Helwick, Hitch, Hornbeck, Hurst, Ironside, Keightley, Keller, Kendrick, Kerrigan, Kerswell, Kinnet, Kirkston, Kurgan, Langworth, Lynch, Mallett, Mallory, Millward, Montfort, Mosley, Murdoch, Norwick, Oberen, Oldham, Pendrake, Raelthorne, Ratcliff, Redgrave, Rhinehart, Rolfe, Rusling, Scarrow, Shaw, Skarholt, Sunbright, Talbot, Tolbert, Versh, Villius, Voyle, Wadock, Whitefield"
Human (Cygnaran),Morridane,Surname,"Ainsworth, Aleman, Alkott, Applewhite, Ashburn, Ashcroft, Atchley, Atwood, Bainbridge, Bancroft, Bannister, Barrington, Barton, Baskin, Belker, Bingley, Blackburn, Blackwood, Boggs, Borloch, Borne, Bradner, Brasher, Briarford, Brisbane, Broadnax, Brocker, Calligan, Calvirt, Cosgrave, Darkmantle, Denby, Denisson, Dryden, Dumas, Dunford, Durst, Ellsworth, Falk, Fenwick, Forsythe, Fullet, Gadock, Galbraith, Gant, Gately, Gilfin, Gilroy, Grayden, Grimes, Hadley, Haightley, Halstead, Hartcliff, Helstrom, Helwick, Hitch, Hornbeck, Hurst, Ironside, Keightley, Keller, Kendrick, Kerrigan, Kerswell, Kinnet, Kirkston, Kurgan, Langworth, Lynch, Mallett, Mallory, Millward, Montfort, Mosley, Murdoch, Norwick, Oberen, Oldham, Pendrake, Raelthorne, Ratcliff, Redgrave, Rhinehart, Rolfe, Rusling, Scarrow, Shaw, Skarholt, Sunbright, Talbot, Tolbert, Versh, Villius, Voyle, Wadock, Whitefield"
Human (Protectorate),Sulese,Surname,"Ainsworth, Aleman, Alkott, Applewhite, Ashburn, Ashcroft, Atchley, Atwood, Bainbridge, Bancroft, Bannister, Barrington, Barton, Baskin, Belker, Bingley, Blackburn, Blackwood, Boggs, Borloch, Borne, Bradner, Brasher, Briarford, Brisbane, Broadnax, Brocker, Calligan, Calvirt, Cosgrave, Darkmantle, Denby, Denisson, Dryden, Dumas, Dunford, Durst, Ellsworth, Falk, Fenwick, Forsythe, Fullet, Gadock, Galbraith, Gant, Gately, Gilfin, Gilroy, Grayden, Grimes, Hadley, Haightley, Halstead, Hartcliff, Helstrom, Helwick, Hitch, Hornbeck, Hurst, Ironside, Keightley, Keller, Kendrick, Kerrigan, Kerswell, Kinnet, Kirkston, Kurgan, Langworth, Lynch, Mallett, Mallory, Millward, Montfort, Mosley, Murdoch, Norwick, Oberen, Oldham, Pendrake, Raelthorne, Ratcliff, Redgrave, Rhinehart, Rolfe, Rusling, Scarrow, Shaw, Skarholt, Sunbright, Talbot, Tolbert, Versh, Villius, Voyle, Wadock, Whitefield"
Human (Ordic),Thurian,Surname,"Aghamore, Bain, Bartley, Beene, Berrigan, Blathmac, Bradigan, Bray, Brenn, Burney, Byrne, Carrock, Cathmore, Corcoran, Corley, Cronan, Decklan, Deorain, Derrigan, Donovan, Doyle, Dromore, Duff, Duffock, Duggan, Dunne, Enabarr, Fagan, Finnian, Finnigan, Gafneagh, Garrity, Gilmore, Glasneagh, Gormleigh, Gowan, Grady, Grath, Hugh, Hurlough, Kaddock, Kain, Kannock, Kavanaugh, Kerneigh, Keehan, Kerrigan, Kilbride, Kildair, Lattimore, Leegan, Lochlan, Lowreigh, Lynch, Madigan, Melroane, Moriarty, Mrrough, Rathleagh, Reardan, Riordan, Roane, Ryland, Scully, Sheridan, Scorleagh, Torcail, Turlough, Vain, Waddock, Wain"
Human (Khadoran),Khard,Surname,"Abrosim, Adka, Agrimko, Aleksy, Aleshko, Antonidka, Babora, Belavdon, Berzhin, Blizbor, Bolovan, Borga, Csabor, Dementskov, Dvora, Durga, Faltin, Grishka, Grychkin, Gubin, Istori, Karakov, Koposin, Krasnovo, Kutsov, Ladislav, Lichko, Lovot, Louka, Lozar, Makara, Makarin, Makarov, Mikita, Mileshka, Mrovka, Nagorka, Nazarko, Neshka, Orlov, Osokin, Ostyvik, Padorin, Petrok, Petru, Raboshich, Rachlavsky, Radazar, Rostov, Starov, Stasvite, Szetka, Ushka, Tiudiaminov, Toshiana, Varnek, Venianminov, Vilimov, Vislovski, Zavor, Zeitsev, Zhina, Zhivo"
Human (Khadoran),Skirov,Surname,"Abrosim, Adka, Agrimko, Aleksy, Aleshko, Antonidka, Babora, Belavdon, Berzhin, Blizbor, Bolovan, Borga, Csabor, Dementskov, Dvora, Durga, Faltin, Grishka, Grychkin, Gubin, Istori, Karakov, Koposin, Krasnovo, Kutsov, Ladislav, Lichko, Lovot, Louka, Lozar, Makara, Makarin, Makarov, Mikita, Mileshka, Mrovka, Nagorka, Nazarko, Neshka, Orlov, Osokin, Ostyvik, Padorin, Petrok, Petru, Raboshich, Rachlavsky, Radazar, Rostov, Starov, Stasvite, Szetka, Ushka, Tiudiaminov, Toshiana, Varnek, Venianminov, Vilimov, Vislovski, Zavor, Zeitsev, Zhina, Zhivo"
